Cement_component1__kgInAM_3Mixture_,BlastFurnaceSlag_component2__kgInAM_3Mixture_,FlyAsh_component3__kgInAM_3Mixture_,Water_component4__kgInAM_3Mixture_,Superplasticizer_component5__kgInAM_3Mixture_,CoarseAggregate_component6__kgInAM_3Mixture_,FineAggregate_component7__kgInAM_3Mixture_,Age_day_,ConcreteCompressiveStrength_MPa_Megapascals_
153,145,0,178,8,1000,822,28,19.00885332
525,0,0,189,0,1125,613,14,48.4012152
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.59946448
540,0,0,173,0,1125,613,90,69.65776028
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.147687824
190.68,0,125.4,162.14,7.77,1090,804.01,100,40.56876784
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,23.5111316
251.37,0,118.27,188.45,6.35,1028.4,757.73,100,44.20920112
157,214,152,200,9,819,704,28,33.05347944
332.5,142.5,0,228,0,932,594,90,37.721921436
375,0,0,186,0,1038,758,7,26.0621928
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.287661424
385,0,0,186,0,966,763,3,14.69962832
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.39807748
252.31,0,98.75,146.25,14.17,987.76,889.01,28,50.60064364
229.97,0,118.31,195.47,4.63,1029.4,758.59,100,35.34253976
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56,53.77223324
150,237,0,174,12,1069,675,28,37.43165204
349,0,0,192,0,1047,806.9,3,15.049192652
393,0,0,192,0,940.6,785.6,3,19.199148696
190.34,0,125.18,161.85,9.88,1088.1,802.59,56,38.56239268
252,0,0,185,0,1111,784,7,13.71367764
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
141.3,212,0,203.5,0,971.8,748.5,90,39.6621069
212.52,0,100.37,159.32,8.71,1007.8,903.59,56,42.54756396
158.6,148.9,116,175.1,15,953.3,719.7,28,27.681082448
427.5,47.5,0,228,0,932,594,28,37.427515184
359,19,141,154,10.91,942,801,7,38.610656
238.05,0,94.11,186.66,7,949.91,847.01,14,25.68987576
251.37,0,118.27,188.45,5.75,1028.4,757.73,56,36.96970312
275,180,120,162,10.35,830,765,28,76.23536132
203.5,305.3,0,203.5,0,963.4,630,28,41.684340008
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14,29.55094136
446,24,79,162,11.64,967,712,7,38.01770664
155,183,0,193,9,877,868,28,23.786922
212.57,0,100.39,159.35,10.37,1003.8,903.79,28,37.404073
153,239,0,200,6,1002,684,28,26.8550902
141.3,212,0,203.5,0,971.8,748.5,3,4.827710952
252,0,0,186,0,1111,784,7,11.46598588
198.6,132.4,0,192,0,978.4,825.5,28,28.021683592
233.81,0,94.58,197.89,4.567,947.04,852.16,3,10.38350856
380,95,0,228,0,932,594,180,40.759063216
281,0,0,186,0,1104,774,7,14.49968028
298.2,0,107,209.7,11.1,879.6,744.2,28,31.875164956
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.959470848
359,19,141,154,10.91,942,801,28,62.93536928
315,137,0,145,5.9,1130,745,28,81.75116932
446,24,79,162,11.61,967,712,28,57.02655996
236,0,0,194,0,968,885,3,6.46728488
250,0,95.69,191.84,5.33,948.9,857.2,14,24.65566176
491,26,123,201,3.93,822,699,28,57.915984
148,175,0,171,2,1000,828,28,26.91714304
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.421479776
284,120,0,168,7,970,794,28,40.93419012
236,0,0,193,0,968,885,365,25.08313688
500,0,0,200,0,1125,613,1,12.63809508
249.1,0,98.75,158.11,12.8,987.76,889.01,3,15.36152528
475,0,0,228,0,932,594,365,41.934619796
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09446836
491,26,123,201,3.93,822,699,56,61.855846854188
313,161,0,178,10,917,759,28,52.44154456
136,196,98,199,6,847,783,28,26.96540636
290.2,193.5,0,185.7,0,998.2,704.3,28,33.0431373
336,0,0,182,3,986,817,28,44.86420332
198.6,132.4,0,192,0,978.4,825.5,3,9.131420144
314,0,113,170,10,925,783,28,38.45897128
251.37,0,118.27,188.45,6.35,1028.4,757.73,3,13.12072828
491,26,123,201,3.93,822,699,3,29.5489714305414
277,0,0,191,0,968,856,360,33.70158688
139.6,209.4,0,192,0,1047,806.9,180,44.207822168
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.399596392
183.9,122.6,0,203.5,0,959.2,800,3,4.903553312
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.89607912
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38150014
261,100,78,201,9,864,761,28,32.39847724
251.81,0,99.94,146.14,12.35,1006,899.76,56,44.14025352
145,0,134,181,11,979,812,28,13.19657064
525,0,0,189,0,1125,613,270,67.11359384
181.38,0,167.01,169.59,7.56,1055.6,777.8,56,35.57006684
531.3,0,0,141.8,28.2,852.1,893.7,28,56.3991368
152.7,144.7,0,178.1,8,999.7,822.2,28,19.009542796
212.52,0,100.37,159.32,8.71,1007.8,903.59,100,42.919881
310,0,0,192,0,1012,830,120,38.70028788
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
349,0,0,192,0,1056,809,3,15.87173752
153,145,113,178,8,1002,689,28,25.55887532
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.446370892
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.265488324
250,0,95.69,191.84,5.33,948.9,857.2,28,27.22051248
251.37,0,118.27,188.45,5.75,1028.4,757.73,3,17.22311048
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14,34.23937816
275.07,0,121.35,159.48,9.9,1053.6,777.5,100,58.60546
331,0,0,192,0,1025,821,28,31.74347504
254,0,0,198,0,968,863,90,26.94472208
190.34,0,125.18,161.85,9.88,1088.1,802.59,3,9.4458212
167,75.4,167,164.03,7.91,1007.3,770.1,56,53.46196904
302,0,0,203,0,974,817,180,26.74477404
322,149,0,186,8,951,709,28,52.42086028
194.68,0,100.52,170.17,7.48,998,901.8,100,44.27814872
139.6,209.4,0,192,0,1047,806.9,90,39.358047984
439,177,0,186,11.1,884.9,707.9,28,65.99664272
229.68,0,118.16,195.23,6.13,1028.1,757.63,14,22.31833812
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.726417988
239.6,359.4,0,185.7,0,941.6,664.3,28,39.435269296
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
305.3,203.5,0,203.5,0,965.4,631,28,43.377003588
173,116,0,192,0,946.8,856.8,90,32.102692036
162,214,164,202,10,820,680,28,30.6472082
333,0,0,192,0,931.2,842.6,90,41.680203152
339,0,0,197,0,968,781,14,27.04124872
251.81,0,99.94,146.14,12.35,1006,899.76,3,21.02212324
222.36,0,96.67,189.29,4.46,967.08,870.32,28,24.8900836
382,0,0,185,0,1047,739,7,24.00065956
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
475,0,0,228,0,932,594,28,39.28978986
213.5,0,174.24,154.61,11.66,1052.3,775.48,14,33.70158688
135,0,166,180,10,961,805,28,13.29309728
